,video,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,MOS,content,resolution,bitrate,bitrate_mu,AQ,is_AQ_test,level,reference,sureal,MOS_y,sureal_y,aDMOS,sureal_DMOS
57,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,78,85,43,71,,93,41,88,85,74,80,86.0,94,49,82,80,84,91,77,77,100,88,80,81,61,71,92,68,85,57,70,68,86,86,91,69,74,82,85,97,72.0,98,75,78.42857142857143,HERO-00h01m57s,2160p,100000,100000,On,True,2160p_100000,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.58030879262112,78.42857142857143,77.58030879262112,0.0,0.0
58,HERO-00h01m57s_res600_mu800_sigma50_rate780_aqOff.yuv,48,59,33,56,27.0,25,9,28,54,59,75,60.0,43,36,6,50,44,25,51,60,32,37,30,47,45,47,41,49,30,25,21,42,50,56,42,36,44,33,43,50,25.0,67,80,42.325581395348834,HERO-00h01m57s,600p,780,800,Off,True,600p_800,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,42.15099772391409,78.42857142857143,77.58030879262112,36.102990033222596,35.42931106870704
59,HERO-00h01m57s_res1080_mu1200_sigma100_rate1171_aqOn.yuv,68,95,41,56,41.0,62,28,55,34,67,84,54.0,62,45,29,51,62,74,67,49,22,29,42,76,52,43,58,44,49,66,35,54,13,67,50,54,55,26,60,71,54.0,21,60,51.74418604651163,HERO-00h01m57s,1080p,1171,1200,On,True,1080p_1200,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,50.58641212459578,78.42857142857143,77.58030879262112,26.6843853820598,26.993896668025343
60,HERO-00h01m57s_res1080_mu5400_sigma300_rate5435_aqOn.yuv,76,74,30,73,79.0,79,41,79,80,76,69,78.0,85,66,73,50,65,76,68,78,76,57,57,83,65,56,69,57,73,48,56,78,57,73,60,61,84,64,82,97,67.0,91,79,69.4186046511628,HERO-00h01m57s,1080p,5435,5400,On,True,1080p_5400,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,68.50030401450026,78.42857142857143,77.58030879262112,9.009966777408636,9.080004778120866
61,HERO-00h01m57s_res720_mu1500_sigma100_rate1426_aqOn.yuv,66,39,41,60,36.0,60,27,71,75,68,85,52.0,66,49,44,38,56,74,71,63,40,26,44,75,50,41,49,62,78,57,37,62,62,30,42,45,62,50,61,56,49.0,67,71,54.81395348837209,HERO-00h01m57s,720p,1426,1500,On,True,720p_1500,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,54.05974704396497,78.42857142857143,77.58030879262112,23.614617940199338,23.520561748656156
62,BTFB-00h33m50s_res2160_mu1000_sigma100_rate1009_aqOn.yuv,13,49,40,41,12.0,5,32,39,32,9,46,25.0,32,33,14,10,25,12,23,30,37,20,25,31,37,37,11,26,40,19,16,31,26,27,37,42,12,9,11,21,36.0,20,22,25.930232558139537,BTFB-00h33m50s,2160p,1009,1000,On,True,2160p_1000,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,26.17102415887108,63.666666666666664,62.71651595313058,37.73643410852713,36.545491794259505
63,BTFB-00h33m50s_res2160_mu3000_sigma300_rate2862_aqOn.yuv,70,51,61,63,56.0,75,21,33,67,45,84,59.0,42,41,47,55,56,75,27,69,74,42,48,59,68,39,53,55,49,45,57,42,78,73,61,56,81,82,56,69,68.0,75,51,57.627906976744185,BTFB-00h33m50s,2160p,2862,3000,On,True,2160p_3000,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,57.39140311445567,63.666666666666664,62.71651595313058,6.038759689922479,5.325112838674912
64,BTFB-00h33m50s_res720_mu1500_sigma100_rate1544_aqOn.yuv,70,66,40,55,59.0,60,34,21,61,74,94,54.0,78,66,40,52,65,35,71,59,60,49,67,76,61,80,53,71,72,48,65,80,60,65,67,28,26,74,47,70,68.0,80,48,59.74418604651163,BTFB-00h33m50s,720p,1544,1500,On,True,720p_1500,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,61.2282253105262,63.666666666666664,62.71651595313058,3.922480620155035,1.4882906426043832
65,BTFB-00h33m50s_res2160_mu11200_sigma300_rate11440_aqOn.yuv,76,73,43,41,,54,49,40,63,55,95,78.0,69,44,31,63,44,54,46,50,54,43,38,48,57,58,73,52,80,45,47,70,87,86,82,50,63,93,83,71,93.0,77,63,61.45238095238095,BTFB-00h33m50s,2160p,11440,11200,On,True,2160p_11200,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,61.725851004938825,63.666666666666664,62.71651595313058,2.2142857142857153,0.9906649481917569
66,BTFB-00h33m50s_res1080_mu1200_sigma100_rate1220_aqOff.yuv,68,64,51,46,,30,27,16,43,54,96,64.0,60,46,52,50,37,36,50,44,62,41,33,84,43,54,46,51,42,49,43,42,68,70,61,41,52,45,57,63,68.0,66,75,52.142857142857146,BTFB-00h33m50s,1080p,1220,1200,Off,True,1080p_1200,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,51.12536470781337,63.666666666666664,62.71651595313058,11.523809523809518,11.591151245317214
67,BTFB-00h33m50s_res600_mu800_sigma50_rate884_aqOff.yuv,78,71,51,59,38.0,33,25,40,59,76,83,,61,50,64,62,66,87,55,40,57,38,56,72,42,38,55,59,46,46,53,58,44,53,58,42,25,50,60,60,45.0,78,49,54.333333333333336,BTFB-00h33m50s,600p,884,800,Off,True,600p_800,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,53.779463318896845,63.666666666666664,62.71651595313058,9.333333333333329,8.937052634233737
68,BTFB-00h33m50s_res1080_mu500_sigma100_rate340_aqOn.yuv,8,13,10,19,2.0,19,15,13,17,26,23,26.0,28,27,1,9,1,23,29,16,1,19,25,29,39,20,14,25,36,11,1,10,12,26,39,31,16,5,7,7,12.0,11,1,16.790697674418606,BTFB-00h33m50s,1080p,340,500,On,True,1080p_500,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,17.655534210392194,63.666666666666664,62.71651595313058,46.87596899224806,45.06098174273839
69,BTFB-00h33m50s_res1080_mu1200_sigma100_rate1220_aqOn.yuv,68,62,59,66,22.0,28,47,60,60,57,80,69.0,66,56,16,56,50,47,30,52,26,49,47,94,53,65,46,57,54,42,49,46,38,74,52,38,58,48,54,84,60.0,82,63,54.18604651162791,BTFB-00h33m50s,1080p,1220,1200,On,True,1080p_1200,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,54.60119271541109,63.666666666666664,62.71651595313058,9.480620155038757,8.115323237719494
70,BTFB-00h33m50s_res2160_mu3000_sigma300_rate2862_aqOff.yuv,79,75,43,56,15.0,78,27,48,68,54,77,75.0,74,38,13,41,35,60,24,61,44,41,35,87,55,39,48,47,56,47,23,42,82,78,60,55,58,78,61,71,55.0,65,42,53.72093023255814,BTFB-00h33m50s,2160p,2862,3000,Off,True,2160p_3000,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,53.45376781048002,63.666666666666664,62.71651595313058,9.945736434108525,9.262748142650565
71,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,81,85,69,60,,78,39,53,64,59,85,70.0,57,50,32,64,63,69,72,41,46,49,34,65,54,72,47,57,80,51,37,62,98,70,84,38,82,91,79,66,91.0,60,70,63.666666666666664,BTFB-00h33m50s,2160p,100000,100000,On,True,2160p_100000,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,62.71651595313058,63.666666666666664,62.71651595313058,0.0,0.0
72,BTFB-00h33m50s_res1080_mu5400_sigma300_rate5224_aqOn.yuv,62,74,40,61,54.0,59,45,74,72,60,76,58.0,57,66,34,51,84,51,45,35,46,49,62,86,59,45,75,76,62,20,36,64,84,81,70,60,72,75,73,73,73.0,75,81,61.74418604651163,BTFB-00h33m50s,1080p,5224,5400,On,True,1080p_5400,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,61.24931728350892,63.666666666666664,62.71651595313058,1.922480620155035,1.4671986696216592
73,BTFB-00h33m50s_res720_mu1500_sigma100_rate1544_aqOff.yuv,73,74,32,54,52.0,73,41,50,52,74,70,69.0,64,52,46,52,61,83,72,32,71,49,42,76,57,67,74,72,69,42,67,44,77,77,60,44,82,50,55,57,62.0,74,83,61.093023255813954,BTFB-00h33m50s,720p,1544,1500,Off,True,720p_1500,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,60.59580655682304,63.666666666666664,62.71651595313058,2.5736434108527106,2.1207093963075394
74,BTFB-00h33m50s_res600_mu800_sigma50_rate884_aqOn.yuv,66,48,55,52,43.0,48,26,36,62,51,82,54.0,59,54,27,55,40,79,52,52,51,46,47,74,41,75,48,50,61,57,51,41,40,66,76,39,24,58,59,54,48.0,73,73,53.325581395348834,BTFB-00h33m50s,600p,884,800,On,True,600p_800,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,52.915162530388336,63.666666666666664,62.71651595313058,10.34108527131783,9.801353422742245
75,7500-00h15m25s_res1080_mu5400_sigma300_rate5638_aqOn.yuv,49,72,46,63,66.0,82,44,62,61,46,88,,70,50,40,71,76,81,68,42,63,68,47,66,44,64,54,62,75,46,57,45,73,76,65,57,62,49,83,78,76.0,85,76,63.04761904761905,7500-00h15m25s,1080p,5638,5400,On,False,1080p_5400,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,62.67831781020732,67.0952380952381,64.81955802770632,4.047619047619051,2.1412402174990035
76,7500-00h15m25s_res2160_mu11200_sigma300_rate11726_aqOn.yuv,79,87,49,63,,84,34,50,82,62,91,73.0,70,60,36,41,47,65,51,35,91,60,45,50,46,86,77,58,71,54,62,66,80,72,50,44,61,77,60,81,69.0,94,80,64.11904761904762,7500-00h15m25s,2160p,11726,11200,On,False,2160p_11200,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.95374754918699,67.0952380952381,64.81955802770632,2.9761904761904816,0.8658104785193288
77,7500-00h15m25s_res600_mu800_sigma50_rate840_aqOn.yuv,49,70,37,56,65.0,80,20,45,65,72,69,,64,46,28,34,62,49,54,32,59,64,40,72,41,53,47,50,75,27,49,64,65,61,29,65,51,47,90,50,44.0,61,30,53.11904761904762,7500-00h15m25s,600p,840,800,On,False,600p_800,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,53.61825413132657,67.0952380952381,64.81955802770632,13.976190476190482,11.201303896379748
78,7500-00h15m25s_res720_mu1500_sigma100_rate1511_aqOn.yuv,64,74,61,67,,36,50,49,71,72,85,70.0,73,45,45,53,70,68,52,58,64,48,54,87,52,58,50,68,66,42,54,62,57,74,44,43,48,50,86,70,52.0,90,56,60.42857142857143,7500-00h15m25s,720p,1511,1500,On,False,720p_1500,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,60.049822562575166,67.0952380952381,64.81955802770632,6.666666666666671,4.769735465131156
79,7500-00h15m25s_res1080_mu1200_sigma100_rate1268_aqOn.yuv,75,61,53,47,,87,49,36,76,73,67,66.0,75,55,43,63,53,74,74,73,49,68,55,74,57,66,70,64,73,54,55,68,56,68,83,57,69,26,77,70,64.0,92,62,63.73809523809524,7500-00h15m25s,1080p,1268,1200,On,False,1080p_1200,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,64.064843821447,67.0952380952381,64.81955802770632,3.357142857142861,0.7547142062593224
80,7500-00h15m25s_res1080_mu500_sigma100_rate466_aqOn.yuv,55,39,19,42,12.0,22,15,72,57,63,50,57.0,36,30,42,14,12,64,22,30,16,33,58,39,44,42,36,37,32,59,18,28,18,68,41,29,5,22,40,33,45.0,71,27,37.06976744186046,7500-00h15m25s,1080p,466,500,On,False,1080p_500,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,35.90445354794345,67.0952380952381,64.81955802770632,30.02547065337764,28.915104479762874
81,7500-00h15m25s_res2160_mu3000_sigma300_rate3372_aqOn.yuv,81,53,48,56,70.0,77,39,62,73,66,91,60.0,43,50,40,66,49,94,63,57,44,74,62,62,58,49,73,79,71,36,63,82,59,62,68,47,72,49,80,80,53.0,59,79,62.76744186046512,7500-00h15m25s,2160p,3372,3000,On,False,2160p_3000,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.2982428876599,67.0952380952381,64.81955802770632,4.327796234772983,1.5213151400464184
82,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,79,49,67,69,,88,72,77,65,81,62,56.0,53,56,50,45,71,76,73,64,74,63,54,69,59,42,81,57,64,65,50,56,82,82,63,59,73,74,80,93,54.0,86,85,67.0952380952381,7500-00h15m25s,2160p,100000,100000,On,False,2160p_100000,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,64.81955802770632,67.0952380952381,64.81955802770632,0.0,0.0
83,7500-00h15m25s_res2160_mu1000_sigma100_rate788_aqOn.yuv,42,26,36,52,,20,62,64,54,55,61,41.0,48,35,20,26,21,40,35,58,41,19,33,64,41,23,50,24,31,82,17,42,34,45,36,64,22,31,28,32,40.0,26,29,39.285714285714285,7500-00h15m25s,2160p,788,1000,On,False,2160p_1000,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,37.78211290218036,67.0952380952381,64.81955802770632,27.809523809523817,27.037445125525963
84,BASN-00h37m18s_res600_mu800_sigma50_rate841_aqOn.yuv,57,71,20,56,66.0,60,63,71,50,60,52,78.0,76,66,63,67,64,49,51,61,50,58,50,73,50,69,79,47,65,56,79,83,78,68,76,61,68,49,80,82,66.0,83,74,63.83720930232558,BASN-00h37m18s,600p,841,800,On,False,600p_800,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.776760042123854,64.83720930232558,64.61540800798893,0.9999999999999929,0.8386479658650785
85,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72,48,65,68,79.0,71,50,65,65,76,64,68.0,67,49,9,53,66,78,72,52,74,49,48,54,49,46,84,47,78,50,62,78,81,80,82,55,73,55,78,88,89.0,83,68,64.83720930232558,BASN-00h37m18s,2160p,100000,100000,On,False,2160p_100000,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,64.61540800798893,64.83720930232558,64.61540800798893,0.0,0.0
86,BASN-00h37m18s_res1080_mu1200_sigma100_rate1196_aqOn.yuv,34,61,37,52,44.0,48,74,75,52,49,79,76.0,59,62,51,51,50,75,52,55,40,46,60,75,61,78,47,46,59,44,41,40,44,70,70,59,73,63,67,60,72.0,100,82,58.906976744186046,BASN-00h37m18s,1080p,1196,1200,On,False,1080p_1200,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,56.72014826322114,64.83720930232558,64.61540800798893,5.930232558139529,7.895259744767792
87,BASN-00h37m18s_res1080_mu5400_sigma300_rate5457_aqOn.yuv,54,94,44,55,70.0,58,70,48,69,70,67,70.0,66,67,86,66,61,86,76,61,63,71,39,75,47,54,75,68,78,62,61,61,86,74,72,57,74,49,71,87,79.0,77,51,66.72093023255815,BASN-00h37m18s,1080p,5457,5400,On,False,1080p_5400,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,66.61500940994742,64.83720930232558,64.61540800798893,-1.8837209302325704,-1.9996014019584862
88,BASN-00h37m18s_res2160_mu1000_sigma100_rate922_aqOn.yuv,46,24,41,40,,42,10,55,19,73,39,60.0,49,45,4,49,30,16,4,60,26,21,35,34,34,52,29,26,36,43,18,35,58,22,49,36,26,41,39,49,44.0,15,14,35.42857142857143,BASN-00h37m18s,2160p,922,1000,On,False,2160p_1000,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,35.93240483113019,64.83720930232558,64.61540800798893,29.408637873754145,28.68300317685874
89,BASN-00h37m18s_res1080_mu500_sigma100_rate694_aqOn.yuv,59,74,53,60,64.0,39,50,20,54,39,79,74.0,60,49,45,61,59,17,62,60,40,37,47,48,70,76,80,47,56,47,45,57,66,58,62,43,50,43,63,80,49.0,100,72,56.13953488372093,BASN-00h37m18s,1080p,694,500,On,False,1080p_500,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,56.53098662322275,64.83720930232558,64.61540800798893,8.697674418604649,8.08442138476618
90,BASN-00h37m18s_res720_mu1500_sigma100_rate1598_aqOn.yuv,83,61,54,54,,78,57,60,58,79,86,67.0,45,65,39,73,68,72,68,81,47,69,52,76,59,93,81,60,78,51,66,61,77,85,50,59,74,76,80,80,77.0,87,85,68.35714285714286,BASN-00h37m18s,720p,1598,1500,On,False,720p_1500,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,67.58856588490374,64.83720930232558,64.61540800798893,-3.5199335548172854,-2.9731578769148115
91,BASN-00h37m18s_res2160_mu11200_sigma300_rate11167_aqOn.yuv,75,75,64,66,71.0,91,67,62,59,60,50,76.0,73,58,86,65,49,74,76,63,75,67,55,73,66,52,60,58,79,39,54,73,97,88,69,66,74,79,72,74,72.0,69,79,68.6046511627907,BASN-00h37m18s,2160p,11167,11200,On,False,2160p_11200,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,67.81218590692087,64.83720930232558,64.61540800798893,-3.7674418604651265,-3.1967778989319413
92,BASN-00h37m18s_res2160_mu3000_sigma300_rate3027_aqOn.yuv,70,60,29,70,60.0,56,69,22,60,57,63,70.0,66,62,81,49,37,58,72,65,49,68,43,72,61,43,62,55,52,57,66,62,80,93,94,65,71,65,84,74,60.0,72,79,62.86046511627907,BASN-00h37m18s,2160p,3027,3000,On,False,2160p_3000,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,62.52216677501004,64.83720930232558,64.61540800798893,1.9767441860465027,2.0932412329788903
93,CMDY-101-00h10m21s_res1080_mu5400_sigma300_rate5789_aqOn.yuv,59,74,56,70,48.0,91,45,50,71,56,73,68.0,78,63,36,70,77,96,78,69,76,63,33,85,55,89,76,68,71,72,62,72,63,81,79,52,44,90,68,79,65.0,84,87,68.4186046511628,CMDY-101-00h10m21s,1080p,5789,5400,On,False,1080p_5400,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,68.27678559439805,79.83720930232558,78.77438104763964,11.41860465116278,10.497595453241587
94,CMDY-101-00h10m21s_res2160_mu1000_sigma100_rate798_aqOn.yuv,5,25,13,6,9.0,25,25,3,13,20,7,29.0,25,12,5,12,1,13,1,24,1,7,5,6,24,23,8,21,29,1,6,11,13,3,16,19,10,3,5,21,3.0,8,1,12.023255813953488,CMDY-101-00h10m21s,2160p,798,1000,On,False,2160p_1000,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,13.425172743535564,79.83720930232558,78.77438104763964,67.81395348837209,65.34920830410407
95,CMDY-101-00h10m21s_res720_mu1500_sigma300_rate1807_aqOn.yuv,59,37,42,53,,45,16,38,48,30,78,46.0,51,38,39,17,30,64,18,39,50,38,29,69,49,45,46,46,44,50,37,41,36,56,42,34,30,31,51,49,33.0,66,44,42.95238095238095,CMDY-101-00h10m21s,720p,1807,1500,On,False,720p_1500,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,42.34298239967073,79.83720930232558,78.77438104763964,36.88482834994463,36.431398647968905
96,CMDY-101-00h10m21s_res1080_mu1200_sigma100_rate1292_aqOn.yuv,53,37,22,40,19.0,31,32,50,64,35,39,49.0,46,36,27,33,23,47,3,31,25,28,23,49,31,40,44,32,52,43,49,32,42,36,45,26,26,43,41,63,43.0,29,65,37.76744186046512,CMDY-101-00h10m21s,1080p,1292,1200,On,False,1080p_1200,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,38.729665389696,79.83720930232558,78.77438104763964,42.069767441860456,40.044715657943634
97,CMDY-101-00h10m21s_res2160_mu11200_sigma300_rate10759_aqOn.yuv,79,72,56,64,73.0,63,63,68,70,67,76,74.0,80,50,73,76,72,96,76,74,73,73,52,91,65,94,74,75,74,91,68,63,70,97,91,63,75,73,85,83,56.0,100,85,74.25581395348837,CMDY-101-00h10m21s,2160p,10759,11200,On,False,2160p_11200,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.88446410981658,79.83720930232558,78.77438104763964,5.581395348837205,5.88991693782306
98,CMDY-101-00h10m21s_res600_mu800_sigma200_rate537_aqOn.yuv,39,31,13,26,7.0,19,29,7,33,26,50,27.0,40,26,15,19,4,24,3,38,22,26,7,19,29,20,26,21,17,19,31,29,27,24,5,38,11,10,20,20,35.0,18,29,22.767441860465116,CMDY-101-00h10m21s,600p,537,800,On,False,600p_800,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,24.00473874673806,79.83720930232558,78.77438104763964,57.06976744186046,54.76964230090158
99,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,76,85,76,79,90.0,87,72,61,82,68,93,68.0,75,49,99,85,83,95,91,57,73,75,58,96,79,92,84,70,80,92,81,83,78,91,98,38,67,88,59,89,93.0,98,100,79.83720930232558,CMDY-101-00h10m21s,2160p,100000,100000,On,False,2160p_100000,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,78.77438104763964,79.83720930232558,78.77438104763964,0.0,0.0
100,CMDY-101-00h10m21s_res2160_mu3000_sigma300_rate2560_aqOn.yuv,42,38,21,23,,32,26,66,38,47,58,51.0,52,41,14,24,19,61,3,25,26,37,20,37,40,33,46,39,50,26,19,34,36,32,42,26,21,26,35,44,27.0,29,38,34.38095238095238,CMDY-101-00h10m21s,2160p,2560,3000,On,False,2160p_3000,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,34.64710077444147,79.83720930232558,78.77438104763964,45.456256921373196,44.12728027319817
101,CMDY-101-00h10m21s_res1080_mu500_sigma100_rate514_aqOn.yuv,29,7,15,20,12.0,29,2,14,41,17,20,33.0,45,30,2,21,23,27,3,20,6,23,25,50,17,29,28,25,34,6,24,19,17,26,31,32,11,6,15,32,28.0,20,25,21.837209302325583,CMDY-101-00h10m21s,1080p,514,500,On,False,1080p_500,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,23.60363149799954,79.83720930232558,78.77438104763964,57.99999999999999,55.17074954964009
102,HNNA-202_res600_mu800_sigma200_rate958_aqOn.yuv,66,73,68,52,,72,66,76,70,60,60,74.0,77,61,72,77,59,88,79,37,92,55,71,72,66,81,59,61,61,44,83,67,81,79,86,65,75,53,83,73,65.0,85,66,69.28571428571429,HNNA-202,600p,958,800,On,False,600p_800,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,68.07932333599334,78.9047619047619,79.12831534549737,9.619047619047606,11.048992009504033
103,HNNA-202_res720_mu1500_sigma300_rate1507_aqOn.yuv,49,74,71,73,73.0,77,56,21,74,66,85,78.0,85,56,61,68,84,61,83,77,85,81,76,74,63,80,76,68,53,70,76,85,76,63,82,63,68,78,95,86,76.0,89,81,72.46511627906976,HNNA-202,720p,1507,1500,On,False,720p_1500,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.75368363552307,78.9047619047619,79.12831534549737,6.439645625692137,6.374631709974295
104,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,75,98,66,55,,85,89,25,82,71,93,69.0,93,74,96,75,59,81,90,78,76,93,64,77,62,85,80,88,73,65,75,85,79,80,94,64,81,74,84,98,96.0,100,87,78.9047619047619,HNNA-202,2160p,100000,100000,On,False,2160p_100000,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,79.12831534549737,78.9047619047619,79.12831534549737,0.0,0.0
105,HNNA-202_res1080_mu5400_sigma300_rate5386_aqOn.yuv,87,85,73,79,,79,91,85,78,72,76,79.0,87,53,90,78,79,92,86,78,71,76,51,81,74,81,83,74,82,73,92,74,90,80,99,58,75,73,65,97,63.0,88,83,78.80952380952381,HNNA-202,1080p,5386,5400,On,False,1080p_5400,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,78.26672249862277,78.9047619047619,79.12831534549737,0.0952380952380878,0.8615928468746006
106,HNNA-202_res2160_mu3000_sigma300_rate3037_aqOn.yuv,83,98,78,83,91.0,74,71,58,71,70,81,74.0,81,65,82,65,63,87,69,67,92,60,47,53,57,93,74,79,72,52,75,70,66,81,80,58,83,59,92,82,71.0,66,85,73.44186046511628,HNNA-202,2160p,3037,3000,On,False,2160p_3000,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,73.27495468682412,78.9047619047619,79.12831534549737,5.46290143964562,5.853360658673253
107,HNNA-202_res2160_mu1000_sigma100_rate1003_aqOn.yuv,55,1,16,28,,27,32,80,57,51,39,44.0,49,35,50,42,28,26,3,46,45,32,38,36,33,53,55,40,49,36,36,32,90,48,66,38,19,26,20,39,27.0,23,27,38.5,HNNA-202,2160p,1003,1000,On,False,2160p_1000,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,38.991112924769695,78.9047619047619,79.12831534549737,40.4047619047619,40.137202420727675
108,HNNA-202_res2160_mu11200_sigma300_rate11106_aqOn.yuv,81,75,69,82,76.0,78,70,57,69,71,97,83.0,82,60,75,76,94,94,72,75,79,75,50,75,78,93,75,65,63,47,73,77,96,67,93,69,74,75,94,92,83.0,81,88,76.69767441860465,HNNA-202,2160p,11106,11200,On,False,2160p_11200,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,76.06247793439407,78.9047619047619,79.12831534549737,2.207087486157249,3.0658374111033027
109,HNNA-202_res1080_mu1200_sigma100_rate1351_aqOn.yuv,75,71,71,61,,72,44,39,68,64,63,58.0,83,54,47,73,72,78,84,76,73,56,55,71,82,61,74,75,75,48,65,72,83,75,87,76,72,81,80,84,82.0,75,61,69.42857142857143,HNNA-202,1080p,1351,1200,On,False,1080p_1200,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,70.09583832836881,78.9047619047619,79.12831534549737,9.476190476190467,9.032477017128556
110,HNNA-202_res1080_mu500_sigma100_rate400_aqOn.yuv,27,25,11,39,4.0,21,44,26,12,53,25,27.0,48,16,16,54,3,2,1,27,3,8,41,12,28,21,25,30,36,5,14,10,25,39,23,18,21,15,27,31,37.0,33,1,22.88372093023256,HNNA-202,1080p,400,500,On,False,1080p_500,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,24.366071740327342,78.9047619047619,79.12831534549737,56.02104097452934,54.76224360517003
111,EXPA-505_res1080_mu1200_sigma100_rate1130_aqOn.yuv,50,25,32,52,45.0,41,32,57,70,81,69,54.0,61,41,56,76,73,27,16,53,33,37,55,13,59,33,53,63,47,31,32,20,23,59,51,53,13,35,36,66,63.0,37,19,45.16279069767442,EXPA-505,1080p,1130,1200,On,False,1080p_1200,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv,47.66288319982465,68.46511627906976,68.57735911794335,23.302325581395344,20.914475918118697
